Model,Brand,Size,Colorway,Condition,Sold,Price Paid (CAD),Current Val (CAD),Profit
Jordan 1,Nike x OW,US9,UNC,DS,Y,170,1500,1330
Jordan 1,Nike,US9,Turbo Green,DS,Y,170,380,210
Jordan 1,Nike x Nigel Sylvester,US9,Cream,DS,Y,170,380,210
LD Waffle,Nike X Sacai,US9,Blue,DS,Y,155,750,595
React Element 85,Nike X Unvercover,US9,Volt,DS,Y,180,410,230
React Element 85,Nike,US9,Sail,DS,Y,180,380,200
Presto Mid,Nike X ACRNYM,US9,Black,DS,Y,200,330,130
Yeezy 500,Adidas,US9.5,Black,DS,Y,200,350,150
AF-1,Nike X OW,US9,Volt,DS,N,170,1100,930
Blazer Mid,Nike X OW,US9,Vanilla,DS,N,700,775,75
Blazer Mid,Nike X OW,US8.5,Black,DS,N,130,850,720
LD Waffle,Nike X Sacai,US9,Green,DS,N,155,790,635
SB Dunk Low,Nike SB X Parra,US9,Multi,DS,N,470,470,0
SB Dunk Low,Nike SB X Parra,US9,Multi,DS,N,600,470,-130
SB Dunk Low,Nike SB,US9,Green,DS,N,100,310,210
SB Dunk Low,Nike SB,US9,Green,DS,N,100,310,210
SB Dunk Low,Nike SB X ACG,US9,Plum,DS,N,100,230,130
SB Dunk High,Nike SB X Color ,US9,Kebab & Destroy,DS,N,120,200,80
Jordan 1,Nike,US9,Electric Orange,DS,N,170,260,90
Dunk Low,Nike,US9,Zebra,DS,N,110,200,90